name,platform,system_type,agent_type,asset_owner,visible_name,auth_scan_status,last_discovered_time,logged_user_time,logged_in_user,asset_logon_user,asset_logon_time,auto_update,cred_id,snmp_cred_id,os_name,os_model,os_full_name,os_version,os_build,os_patches,os_install_date,os_autoupdate,os_vendor,snmp_info,codename,ip,ip_extra,asset_type,is_firewall,domain,kernel,unique_id,host_name,architecture,cpu_core,discovered,icon,status,hardware_model,importance,serial_number,mac,manufacturer,physical_memory,uptime,asset_category,last_reset_time,is_deprecated,deprecated_time,discovered_protocols,custom_profile_id,tags,manual_tags,agent_id,company_id,tenantid,id,created,updated,discoverysettings_id,last_ping_time,scan_status,ad_check,configuration_id,install_required_patches,full_os_build,finger_print,is_allowed,is_oval,problem_name,asset_id,company_id__1,tenantid__1,product,fix,url,problem_id,is_suppressed,suppressed_till,evidence,is_confirmed,id__1,created__1,updated__1
ubuntu-22,ubuntu,,PROBE,,,True,2025-01-23 18:56:31.950446,1737635123,,,,,,,Ubuntu,,,22.04.5 LTS (Jammy Jellyfish),22.04.5 LTS (Jammy Jellyfish),[],,,,{},jammy,10.0.1.178,,discovered,False,,6.8.0-51-generic,"[""46:27:07:bb:45:1f""]",ubuntu-22,x86_64,2,2025-01-22 06:54:18.378443,ubuntu.svg,True,"Standard PC (i440FX + PIIX, 1996)",25,,46:27:07:BB:45:1F,QEMU,2063798272,23521,,2025-01-23 18:56:29.721835,False,,"[{""status"": true, ""protocol"": ""NMAP"", ""credential_id"": """"}, {""status"": true, ""protocol"": ""SSH"", ""credential_id"": ""39553""}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3987,9624,241996091870937089,39333,2025-01-22 06:54:18.378443,2025-01-23 18:56:31.950446,,2025-01-23 18:56:31.950446,True,,,[],,{},True,True,CVE-2024-56826,39333,9624,241996091870937089,USN-7223-1 -- OpenJPEG vulnerabilities,USN-7223-1 -- OpenJPEG vulnerabilities,https://ubuntu.com/security/CVE-2024-56826,,False,,,True,147194,2025-01-23 18:56:31.952815,2025-01-23 18:56:31.952815
ubuntu-22,ubuntu,,PROBE,,,True,2025-01-23 18:56:31.950446,1737635123,,,,,,,Ubuntu,,,22.04.5 LTS (Jammy Jellyfish),22.04.5 LTS (Jammy Jellyfish),[],,,,{},jammy,10.0.1.178,,discovered,False,,6.8.0-51-generic,"[""46:27:07:bb:45:1f""]",ubuntu-22,x86_64,2,2025-01-22 06:54:18.378443,ubuntu.svg,True,"Standard PC (i440FX + PIIX, 1996)",25,,46:27:07:BB:45:1F,QEMU,2063798272,23521,,2025-01-23 18:56:29.721835,False,,"[{""status"": true, ""protocol"": ""NMAP"", ""credential_id"": """"}, {""status"": true, ""protocol"": ""SSH"", ""credential_id"": ""39553""}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3987,9624,241996091870937089,39333,2025-01-22 06:54:18.378443,2025-01-23 18:56:31.950446,,2025-01-23 18:56:31.950446,True,,,[],,{},True,True,CVE-2024-56827,39333,9624,241996091870937089,USN-7223-1 -- OpenJPEG vulnerabilities,USN-7223-1 -- OpenJPEG vulnerabilities,https://ubuntu.com/security/CVE-2024-56827,,False,,,True,147195,2025-01-23 18:56:31.952815,2025-01-23 18:56:31.952815
ubuntu-22,ubuntu,,PROBE,,,True,2025-01-23 18:56:31.950446,1737635123,,,,,,,Ubuntu,,,22.04.5 LTS (Jammy Jellyfish),22.04.5 LTS (Jammy Jellyfish),[],,,,{},jammy,10.0.1.178,,discovered,False,,6.8.0-51-generic,"[""46:27:07:bb:45:1f""]",ubuntu-22,x86_64,2,2025-01-22 06:54:18.378443,ubuntu.svg,True,"Standard PC (i440FX + PIIX, 1996)",25,,46:27:07:BB:45:1F,QEMU,2063798272,23521,,2025-01-23 18:56:29.721835,False,,"[{""status"": true, ""protocol"": ""NMAP"", ""credential_id"": """"}, {""status"": true, ""protocol"": ""SSH"", ""credential_id"": ""39553""}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3987,9624,241996091870937089,39333,2025-01-22 06:54:18.378443,2025-01-23 18:56:31.950446,,2025-01-23 18:56:31.950446,True,,,[],,{},True,True,CVE-2023-50229,39333,9624,241996091870937089,USN-7222-1 -- BlueZ vulnerabilities,USN-7222-1 -- BlueZ vulnerabilities,https://ubuntu.com/security/CVE-2023-50229,1090752,False,,,True,147196,2025-01-23 18:56:31.952815,2025-01-23 18:56:31.952815
ubuntu-22,ubuntu,,PROBE,,,True,2025-01-23 18:56:31.950446,1737635123,,,,,,,Ubuntu,,,22.04.5 LTS (Jammy Jellyfish),22.04.5 LTS (Jammy Jellyfish),[],,,,{},jammy,10.0.1.178,,discovered,False,,6.8.0-51-generic,"[""46:27:07:bb:45:1f""]",ubuntu-22,x86_64,2,2025-01-22 06:54:18.378443,ubuntu.svg,True,"Standard PC (i440FX + PIIX, 1996)",25,,46:27:07:BB:45:1F,QEMU,2063798272,23521,,2025-01-23 18:56:29.721835,False,,"[{""status"": true, ""protocol"": ""NMAP"", ""credential_id"": """"}, {""status"": true, ""protocol"": ""SSH"", ""credential_id"": ""39553""}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3987,9624,241996091870937089,39333,2025-01-22 06:54:18.378443,2025-01-23 18:56:31.950446,,2025-01-23 18:56:31.950446,True,,,[],,{},True,True,CVE-2023-50230,39333,9624,241996091870937089,USN-7222-1 -- BlueZ vulnerabilities,USN-7222-1 -- BlueZ vulnerabilities,https://ubuntu.com/security/CVE-2023-50230,1230588,False,,,True,147197,2025-01-23 18:56:31.952815,2025-01-23 18:56:31.952815
localhost.localdomain,rhel,,LIGHTWEIGHT,,,True,2025-01-22 08:06:02.670482,1737617924,hash,,,,,,Red Hat Enterprise Linux Server,,,Red Hat Enterprise Linux Server release 7.9 (Maipo),Red Hat Enterprise Linux Server release 7.9 (Maipo),[],,,,{},,10.0.0.251,,discovered,False,,3.10.0-1160.el7.x86_64,"[""52:54:00:72:45:14"", ""localhost"", ""vmware-56 4d e0 c4 67 95 69 90-35 42 9b 96 37 ce a5 a2"", ""564de0c4-6795-6990-3542-9b9637cea5a2"", ""00:0c:29:ce:a5:a2""]",localhost,x86_64,3,2025-01-22 07:36:06.936772,opensuse.svg,True,VMware Virtual Platform,25,VMware-56 4d e0 c4 67 95 69 90-35 42 9b 96 37 ce a5 a2,00:0c:29:ce:a5:a2,"VMware, Inc.",3203895296,2528,,2025-01-22 08:06:02.670482,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3885,9539,241996091870937089,39377,2025-01-22 07:36:06.936772,2025-01-22 08:06:02.670482,,2025-01-22 08:06:02.670482,True,,,[],,{},True,True,CVE-2016-2124,39377,9539,241996091870937089,RHSA-2021:5192: samba security and bug fix update (Important),RHSA-2021:5192,https://access.redhat.com/errata/RHSA-2021:5192,37947,True,2123-12-30,,True,146291,2025-01-22 07:36:09.666140,2025-01-22 07:36:09.666140
localhost.localdomain,rhel,,LIGHTWEIGHT,,,True,2025-01-22 08:06:02.670482,1737617924,hash,,,,,,Red Hat Enterprise Linux Server,,,Red Hat Enterprise Linux Server release 7.9 (Maipo),Red Hat Enterprise Linux Server release 7.9 (Maipo),[],,,,{},,10.0.0.251,,discovered,False,,3.10.0-1160.el7.x86_64,"[""52:54:00:72:45:14"", ""localhost"", ""vmware-56 4d e0 c4 67 95 69 90-35 42 9b 96 37 ce a5 a2"", ""564de0c4-6795-6990-3542-9b9637cea5a2"", ""00:0c:29:ce:a5:a2""]",localhost,x86_64,3,2025-01-22 07:36:06.936772,opensuse.svg,True,VMware Virtual Platform,25,VMware-56 4d e0 c4 67 95 69 90-35 42 9b 96 37 ce a5 a2,00:0c:29:ce:a5:a2,"VMware, Inc.",3203895296,2528,,2025-01-22 08:06:02.670482,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},3885,9539,241996091870937089,39377,2025-01-22 07:36:06.936772,2025-01-22 08:06:02.670482,,2025-01-22 08:06:02.670482,True,,,[],,{},True,True,CVE-2016-5766,39377,9539,241996091870937089,RHSA-2020:5443: gd security update (Moderate),RHSA-2020:5443,https://access.redhat.com/errata/RHSA-2020:5443,1109592,True,2123-12-30,,True,146502,2025-01-22 07:36:09.666140,2025-01-22 07:36:09.666140
ip-10-0-0-59,ubuntu,,LIGHTWEIGHT,,,True,2025-01-24 03:08:26.284339,1737658587,,,,,,,Ubuntu,,,20.04.6 LTS (Focal Fossa),20.04.6 LTS (Focal Fossa),[],,,,{},focal,10.0.0.59,,discovered,False,,5.15.0-1075-aws,"[""ip-10-0-0-59"", ""ec262e32-5e7e-fe56-576d-06281d496137"", ""02:42:5e:7a:22:de"", ""02:42:a5:16:4a:d2"", ""02:c3:8a:1a:6e:bd""]",ip-10-0-0-59.ap-south-1.compute.internal,x86_64,2,2025-01-22 07:23:48.883175,ubuntu.svg,True,HVM domU,25,ec262e32-5e7e-fe56-576d-06281d496137,02:c3:8a:1a:6e:bd,Xen,8320270336,1106878,,2025-01-22 07:23:49.233498,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4012,9624,241996091870937089,39374,2025-01-22 07:23:48.883175,2025-01-24 03:08:26.284339,,2025-01-24 03:08:26.284339,True,,,[],,{},True,True,CVE-2024-56826,39374,9624,241996091870937089,USN-7223-1 -- OpenJPEG vulnerabilities,USN-7223-1 -- OpenJPEG vulnerabilities,https://ubuntu.com/security/CVE-2024-56826,,False,,,True,146620,2025-01-22 20:36:57.490757,2025-01-22 20:36:57.490757
ip-10-0-0-59,ubuntu,,LIGHTWEIGHT,,,True,2025-01-24 03:08:26.284339,1737658587,,,,,,,Ubuntu,,,20.04.6 LTS (Focal Fossa),20.04.6 LTS (Focal Fossa),[],,,,{},focal,10.0.0.59,,discovered,False,,5.15.0-1075-aws,"[""ip-10-0-0-59"", ""ec262e32-5e7e-fe56-576d-06281d496137"", ""02:42:5e:7a:22:de"", ""02:42:a5:16:4a:d2"", ""02:c3:8a:1a:6e:bd""]",ip-10-0-0-59.ap-south-1.compute.internal,x86_64,2,2025-01-22 07:23:48.883175,ubuntu.svg,True,HVM domU,25,ec262e32-5e7e-fe56-576d-06281d496137,02:c3:8a:1a:6e:bd,Xen,8320270336,1106878,,2025-01-22 07:23:49.233498,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4012,9624,241996091870937089,39374,2025-01-22 07:23:48.883175,2025-01-24 03:08:26.284339,,2025-01-24 03:08:26.284339,True,,,[],,{},True,True,CVE-2024-56827,39374,9624,241996091870937089,USN-7223-1 -- OpenJPEG vulnerabilities,USN-7223-1 -- OpenJPEG vulnerabilities,https://ubuntu.com/security/CVE-2024-56827,,False,,,True,146621,2025-01-22 20:36:57.490757,2025-01-22 20:36:57.490757
ip-10-0-0-59,ubuntu,,LIGHTWEIGHT,,,True,2025-01-24 03:08:26.284339,1737658587,,,,,,,Ubuntu,,,20.04.6 LTS (Focal Fossa),20.04.6 LTS (Focal Fossa),[],,,,{},focal,10.0.0.59,,discovered,False,,5.15.0-1075-aws,"[""ip-10-0-0-59"", ""ec262e32-5e7e-fe56-576d-06281d496137"", ""02:42:5e:7a:22:de"", ""02:42:a5:16:4a:d2"", ""02:c3:8a:1a:6e:bd""]",ip-10-0-0-59.ap-south-1.compute.internal,x86_64,2,2025-01-22 07:23:48.883175,ubuntu.svg,True,HVM domU,25,ec262e32-5e7e-fe56-576d-06281d496137,02:c3:8a:1a:6e:bd,Xen,8320270336,1106878,,2025-01-22 07:23:49.233498,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4012,9624,241996091870937089,39374,2025-01-22 07:23:48.883175,2025-01-24 03:08:26.284339,,2025-01-24 03:08:26.284339,True,,,[],,{},True,True,CVE-2023-50230,39374,9624,241996091870937089,USN-7222-1 -- BlueZ vulnerabilities,USN-7222-1 -- BlueZ vulnerabilities,https://ubuntu.com/security/CVE-2023-50230,1230588,False,,,True,146622,2025-01-22 20:36:57.490757,2025-01-22 20:36:57.490757
ip-10-0-0-59,ubuntu,,LIGHTWEIGHT,,,True,2025-01-24 03:08:26.284339,1737658587,,,,,,,Ubuntu,,,20.04.6 LTS (Focal Fossa),20.04.6 LTS (Focal Fossa),[],,,,{},focal,10.0.0.59,,discovered,False,,5.15.0-1075-aws,"[""ip-10-0-0-59"", ""ec262e32-5e7e-fe56-576d-06281d496137"", ""02:42:5e:7a:22:de"", ""02:42:a5:16:4a:d2"", ""02:c3:8a:1a:6e:bd""]",ip-10-0-0-59.ap-south-1.compute.internal,x86_64,2,2025-01-22 07:23:48.883175,ubuntu.svg,True,HVM domU,25,ec262e32-5e7e-fe56-576d-06281d496137,02:c3:8a:1a:6e:bd,Xen,8320270336,1106878,,2025-01-22 07:23:49.233498,False,,"[{""status"": true, ""protocol"": ""LIGHTWEIGHT"", ""credential_id"": """"}]",,"{'wat': ['new'], 'Asset Type': ['Server'], 'Scan Status': ['Scanned'], 'Windows11Compatible': []}",{},4012,9624,241996091870937089,39374,2025-01-22 07:23:48.883175,2025-01-24 03:08:26.284339,,2025-01-24 03:08:26.284339,True,,,[],,{},True,True,CVE-2023-50229,39374,9624,241996091870937089,USN-7222-1 -- BlueZ vulnerabilities,USN-7222-1 -- BlueZ vulnerabilities,https://ubuntu.com/security/CVE-2023-50229,1090752,False,,,True,146623,2025-01-22 20:36:57.490757,2025-01-22 20:36:57.490757
